CITY_ID,CITY,STATE_ID,State,,,CITY,UT_ID,UT
C001,Chittoor,S01,Andhra Pradesh,,,Andaman1,S30,Andaman & Nicobar
C002,East Godavari,S01,Andhra Pradesh,,,Nicobar1,S30,Andaman & Nicobar
C003,Guntur,S01,Andhra Pradesh,,,Chandigarh,S31,Chandigarh
C004,Nellore,S01,Andhra Pradesh,,,Dadra&NagarHavei,S32,Dadra&NagarHavei
C005,Kadapa,S01,Andhra Pradesh,,,Daman,S33,Daman & Diu
C006,Krishna,S01,Andhra Pradesh,,,Diu,S33,Daman & Diu
C007,Kurnool,S01,Andhra Pradesh,,,Lakshwadeep,S34,Lakshwadeep
C008,Srikakulam,S01,Andhra Pradesh,,,Karaikal,S35,Pondicherry
C009,Vishakapatnam,S01,Andhra Pradesh,,,Mahe,S35,Pondicherry
C010,Vijaynagaram T,S01,Andhra Pradesh,,,Puducherry,S35,Pondicherry
C011,West Godawari,S01,Andhra Pradesh,,,Yanam,S35,Pondicherry
C012,Changlang™,S02,Arunachal Pradesh,,,Central Delhi,S36,Delhi
C013,DibangValley™,S02,Arunachal Pradesh,,,East Delhi,S36,Delhi
C014,Kameng East™ & Kameng West™,S02,Arunachal Pradesh,,,North-East Delhi,S36,Delhi
C015,Lohit™,S02,Arunachal Pradesh,,,North-West Delhi,S36,Delhi
C016,Popumpare™,S02,Arunachal Pradesh,,,New Delhi,S36,Delhi
C017,Siang East™,S02,Arunachal Pradesh,,,North Delhi,S36,Delhi
C018,Siang Upper™,S02,Arunachal Pradesh,,,South-West Delhi,S36,Delhi
C019,Siang West™,S02,Arunachal Pradesh,,,South Delhi,S36,Delhi
C020,Subansiri Lower™,S02,Arunachal Pradesh,,,West Delhi,S36,Delhi
C021,Subansiri Upper™,S02,Arunachal Pradesh,,,,,
C022,Tawang™,S02,Arunachal Pradesh,,,,,
C023,Tirap™,S02,Arunachal Pradesh,,,,,
C024,Barpeta,S03,Assam,,,,,
C025,Bongaigaon,S03,Assam,,,,,
C026,Cahar,S03,Assam,,,,,
C027,Darrang,S03,Assam,,,,,
C028,Dhemaji,S03,Assam,,,,,
C029,Dhubari,S03,Assam,,,,,
C030,Dibrugarh,S03,Assam,,,,,
C031,Goalpara,S03,Assam,,,,,
C032,Goalghat,S03,Assam,,,,,
C033,Hailakandi,S03,Assam,,,,,
C034,Jorhat,S03,Assam,,,,,
C035,Kamrup,S03,Assam,,,,,
